,0,1
0,1252255406035996674,RT @DonaldJTrumpJr: If anyone doesn’t believe this is the beginning of social media’s further attempt to silence conservative voices and in…
1,1252255328693035012,RT @WarRoom2020: Navarro: China ‘Cornered’ PPE Market and is Now ‘Profiteering’ #Election2020 https://t.co/YAyPWJoT56
2,1252255230730940419,"RT @marthaswilson: @TheWeek Because, of course. 

#EnoughIsEnough #NotMyPresident #Election2020"
3,1252255219376951298,RT @DonaldJTrumpJr: If anyone doesn’t believe this is the beginning of social media’s further attempt to silence conservative voices and in…
4,1252255063973728256,RT @DonaldJTrumpJr: If anyone doesn’t believe this is the beginning of social media’s further attempt to silence conservative voices and in…
5,1252255052129058822,"RT @FreedomforceR: I’ve NEVER seen a political ad like this! 😂🤣😂🙃😂

#mondaythoughts #MondayMotivation #Biden #Election2020 #TheGreatAwakeni…"
6,1252255032004624387,"RT @JeffDiamond3: @IAmSophiaNelson @BarackObama The Trump campaign has no shame, no honor, no decency. They have an angry, racist base to a…"
7,1252254989327765504,RT @DonaldJTrumpJr: If anyone doesn’t believe this is the beginning of social media’s further attempt to silence conservative voices and in…
8,1252254956435968001,"RT @scarlett_0hara: My friend Matt Truong - @MvgaUs - is a refuge from communist #Vietnam and is running for congress in #VA10 
#Virginia #…"
9,1252254920427933696,RT @DonaldJTrumpJr: If anyone doesn’t believe this is the beginning of social media’s further attempt to silence conservative voices and in…
10,1252254819105992704,RT @DonaldJTrumpJr: If anyone doesn’t believe this is the beginning of social media’s further attempt to silence conservative voices and in…
11,1252254765372882945,RT @DonaldJTrumpJr: If anyone doesn’t believe this is the beginning of social media’s further attempt to silence conservative voices and in…
12,1252254700721799168,RT @DonaldJTrumpJr: If anyone doesn’t believe this is the beginning of social media’s further attempt to silence conservative voices and in…
13,1252254655322771456,RT @DonaldJTrumpJr: If anyone doesn’t believe this is the beginning of social media’s further attempt to silence conservative voices and in…
14,1252254564587315200,"RT @HHypocrisy101: Good evening all you USA patriots!

It's been an up-and-down, turbulent fustercluck of a month, and I don't need to tell…"
15,1252254488238358534,RT @DonaldJTrumpJr: If anyone doesn’t believe this is the beginning of social media’s further attempt to silence conservative voices and in…
16,1252254265567051779,"RT @HHypocrisy101: Good evening all you USA patriots!

It's been an up-and-down, turbulent fustercluck of a month, and I don't need to tell…"
17,1252254195111153666,RT @DonaldJTrumpJr: If anyone doesn’t believe this is the beginning of social media’s further attempt to silence conservative voices and in…
18,1252254012037980160,RT @DonaldJTrumpJr: If anyone doesn’t believe this is the beginning of social media’s further attempt to silence conservative voices and in…
19,1252253986452836352,RT @DonaldJTrumpJr: If anyone doesn’t believe this is the beginning of social media’s further attempt to silence conservative voices and in…
20,1252253937249345539,RT @DonaldJTrumpJr: If anyone doesn’t believe this is the beginning of social media’s further attempt to silence conservative voices and in…
